,GHI,DHI,DNI,DryBulb,Wspd,zenith,azimuth,elevation,trackingdata_surface_tilt,trackingdata_surface_azimuth,C,D
1999-07-23 13:30:00-07:00,923.0,0.0,881.0,31.0,3.7,0.5439424987673986,4.172880884348356,1.026853828027498,27.42463373002982,270.0,0.16970927534229757,0.6123825550686145
1999-07-23 14:30:00-07:00,814.0,0.0,844.0,30.0,3.4000000000000004,0.7294587733391265,4.4474702209346955,0.8413375534557701,40.78621277000681,270.0,0.07338078629134887,0.7428477319948319
1999-07-23 15:30:00-07:00,661.0,0.0,795.0,29.0,3.1,0.927938597109516,4.645740800792545,0.6428577296853806,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-23 16:30:00-07:00,479.0,0.0,723.0,28.0,2.7,1.129104893354922,4.811520877851296,0.4416914334399746,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-23 17:30:00-07:00,180.0,0.0,132.0,26.0,1.8,1.3271921696410747,4.9666369110468604,0.24360415715382178,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-23 18:30:00-07:00,95.0,0.0,311.0,24.0,1.1,1.5174008472290967,5.124541502018566,0.05339547956579971,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-24 05:30:00-07:00,53.0,0.0,190.0,20.0,2.5,1.3748836488991725,1.2807208953010825,0.19591267789572422,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-24 06:30:00-07:00,237.0,0.0,594.0,22.0,2.9000000000000004,1.1783614299576677,1.4358515742971616,0.392434896837229,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-24 07:30:00-07:00,436.0,0.0,751.0,25.0,3.2,0.9776323411555282,1.5980605196148514,0.5931639856393685,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-24 08:30:00-07:00,625.0,0.0,834.0,27.0,3.9,0.7780754285485201,1.7864189200168554,0.7927208982463765,43.90949665357751,90.0,0.053239375717692716,0.7795638280948284
1999-07-24 09:30:00-07:00,783.0,0.0,878.0,28.0,4.5,0.5884199721067866,2.03746366179572,0.9823763546881099,30.791573332672755,90.00000120741828,0.14404173527646263,0.6409648046332082
1999-07-24 10:30:00-07:00,899.0,0.0,902.0,29.0,4.7,0.42874658925414877,2.428587846193499,1.142049737540748,16.6464886698581,90.00000190909591,0.25676708130524345,0.5419095428881858
1999-07-24 11:30:00-07:00,259.0,0.0,16.0,29.0,4.6000000000000005,0.3482618215204973,3.054714837528114,1.2225345052743992,1.8043459852827899,90.00000907573836,0.38425671334406913,0.500495825070712
1999-07-24 12:30:00-07:00,798.0,0.0,367.0,29.0,4.5,0.39972280011535993,3.7261646944838303,1.1710735266795367,13.123244305042311,270.0,0.28647678962556117,0.5261160629596956
1999-07-24 13:30:00-07:00,396.0,0.0,31.0,28.0,4.3,0.5464745958597409,4.1678464974433505,1.0243217309351558,27.487431168446836,269.9999985212207,0.16922298960847404,0.6128878955289822
1999-07-24 14:30:00-07:00,375.0,0.0,38.0,28.0,4.3,0.7316271021832667,4.443086876069131,0.8391692246116299,40.87587924005002,270.0,0.0727887242675006,0.7438709606594646
1999-07-24 15:30:00-07:00,53.0,0.0,0.0,27.0,4.4,0.9299757986625753,4.641967432565474,0.6408205281323213,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-24 16:30:00-07:00,19.0,0.0,0.0,25.0,3.8,1.1311562481460602,4.808184512800044,0.4396400786488365,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-24 17:30:00-07:00,138.0,0.0,37.0,22.0,2.7,1.329358010329734,4.963606793858832,0.24143831646516264,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-24 18:30:00-07:00,44.0,0.0,0.0,20.0,2.4000000000000004,1.519760247881978,5.1217439511332215,0.05103607891291843,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-25 05:30:00-07:00,35.0,0.0,28.0,19.0,3.5,1.377230329735734,1.2836370353328879,0.19356599705916244,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-25 06:30:00-07:00,139.0,0.0,87.0,23.0,3.6,1.180581310033239,1.4390595417907661,0.39021501676165754,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-25 07:30:00-07:00,255.0,0.0,105.0,26.0,3.0,0.9798179848026249,1.6016707346350598,0.5909783419922716,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-25 08:30:00-07:00,431.0,0.0,200.0,28.0,2.6,0.780357406474621,1.7905856185147342,0.7904389203202756,44.013780403282965,90.0,0.05258431938326019,0.7808272951185997
1999-07-25 09:30:00-07:00,416.0,0.0,67.0,29.0,2.4000000000000004,0.591003372538063,2.0422672662268817,0.9797929542568335,30.871126462491677,90.0,0.1434456124490197,0.6416764101381311
1999-07-25 10:30:00-07:00,162.0,0.0,9.0,30.0,2.3000000000000003,0.43192178014392163,2.4332346402808995,1.1388745466509749,16.693345446869863,90.0,0.256375363646107,0.542144136454316
1999-07-25 11:30:00-07:00,357.0,0.0,22.0,30.0,1.9,0.3519798649680617,3.055334731654514,1.218816461826835,1.8122913031267516,90.00001246041614,0.38418741189593125,0.5005002009856109
1999-07-25 12:30:00-07:00,882.0,0.0,434.0,29.0,1.3,0.40303106141789236,3.7217655501779734,1.1677652653770043,13.155194128497415,269.99999730013064,0.28620527402740065,0.526242822176245
1999-07-25 13:30:00-07:00,512.0,0.0,77.0,28.0,0.9,0.5491150380185925,4.162782430913962,1.021681288776304,27.554451228053424,270.0,0.16870431090855786,0.6134283915944185
1999-07-25 14:30:00-07:00,361.0,0.0,41.0,27.0,1.0,0.7338962333811594,4.438650136258796,0.8369000934137372,40.970265730999785,270.0,0.07216636204798271,0.7449500524411762
1999-07-25 15:30:00-07:00,292.0,0.0,36.0,26.0,1.2000000000000002,0.9321086419820587,4.6381381415165,0.638687684812838,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-25 16:30:00-07:00,210.0,0.0,29.0,25.0,1.4,1.1333008203579114,4.804795129351367,0.43749550643698537,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-25 17:30:00-07:00,121.0,0.0,14.0,24.0,1.2000000000000002,1.3316167841136126,4.960527869430214,0.239179542681284,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-25 18:30:00-07:00,39.0,0.0,0.0,22.0,0.8,1.5222139294196542,5.118902544184218,0.04858239737524258,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-26 05:30:00-07:00,59.0,0.0,278.0,19.0,1.4,1.379605462638886,1.286652203977227,0.19119086415601044,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-26 06:30:00-07:00,235.0,0.0,586.0,23.0,1.9,1.1828273040249586,1.4423706337534525,0.38796902276993817,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-26 07:30:00-07:00,435.0,0.0,733.0,26.0,2.5,0.9820310282478822,1.6053919068075335,0.5887652985470144,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-26 08:30:00-07:00,624.0,0.0,813.0,28.0,3.1,0.7826727547461999,1.7948753073539283,0.7881235720486968,44.11865797448827,90.0,0.0519266937230759,0.7821003595001581
1999-07-26 09:30:00-07:00,784.0,0.0,859.0,29.0,3.3000000000000003,0.5936327779653114,2.047207301617009,0.9771635488295851,30.950493625681382,90.00000120741828,0.14285137600249254,0.6423880010723065
1999-07-26 10:30:00-07:00,899.0,0.0,879.0,30.0,3.4000000000000004,0.43516372607481907,2.438019161538743,1.1356326007200774,16.738991352449077,90.00000147877934,0.25599386110635863,0.5423732836622711
1999-07-26 11:30:00-07:00,959.0,0.0,878.0,30.0,3.5,0.35578949562388273,3.0560790668006956,1.2150068311710138,1.8178674931510614,90.00001837101875,0.38413877487357306,0.5005032835721994
1999-07-26 12:30:00-07:00,960.0,0.0,860.0,31.0,3.5,0.406449170524968,3.7174214327101693,1.1643471562699286,13.190584829958349,269.9999974386791,0.2859045585114166,0.5263835863513285
1999-07-26 13:30:00-07:00,761.0,0.0,387.0,30.0,3.4000000000000004,0.5518634466874461,4.1576937536683145,1.0189328801074504,27.625707474910033,270.0,0.16815319481749708,0.614004381666215
1999-07-26 14:30:00-07:00,740.0,0.0,506.0,29.0,3.0,0.7362660262789434,4.434163612099007,0.8345303005159531,41.069370345142104,270.0,0.07151384715652054,0.7460852902613181
1999-07-26 15:30:00-07:00,593.0,0.0,555.0,28.0,2.5,0.9343369592151984,4.634255498809474,0.6364593675796982,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-26 16:30:00-07:00,203.0,0.0,25.0,27.0,2.0,1.13553831879301,4.801354659909024,0.4352580080018868,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-26 17:30:00-07:00,167.0,0.0,104.0,25.0,1.6,1.333968041599541,4.957401650357076,0.2368282851953558,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-26 18:30:00-07:00,52.0,0.0,19.0,23.0,1.2000000000000002,1.52476127374207,5.116018484755203,0.046035053052826604,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-27 05:30:00-07:00,54.0,0.0,249.0,18.0,2.6,1.3820081666093704,1.2897653948522132,0.18878816018552597,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-27 06:30:00-07:00,228.0,0.0,569.0,21.0,2.7,1.1850987684811924,1.4457835438226099,0.3856975583137043,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-27 07:30:00-07:00,425.0,0.0,721.0,25.0,2.0,0.9842710687790206,1.6092223150704266,0.586525258015876,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-07-27 08:30:00-07:00,611.0,0.0,797.0,28.0,1.6,0.7850212950535523,1.7992855565828365,0.7857750317413442,44.22408807116649,90.0,0.05126677898348525,0.7833825551678312
